,Time,Time(s),Temp(K)
0,2016-12-01 03:18:11,0,-258.45999145507807
1,2016-12-01 03:18:17,6,-258.45999145507807
2,2016-12-01 03:18:22,11,-258.45999145507807
3,2016-12-01 03:18:28,17,-258.45999145507807
4,2016-12-01 03:18:33,22,-258.45999145507807
5,2016-12-01 03:18:38,27,-258.45999145507807
6,2016-12-01 03:18:44,33,-258.45999145507807
7,2016-12-01 03:18:50,39,-258.45999145507807
8,2016-12-01 03:18:56,45,-258.45999145507807
9,2016-12-01 03:18:58,47,-258.45999145507807
10,2016-12-01 03:19:01,50,-258.45999145507807
11,2016-12-01 03:19:07,56,-258.45999145507807
12,2016-12-01 03:19:12,61,-258.45999145507807
13,2016-12-01 03:19:18,67,-258.45999145507807
14,2016-12-01 03:19:24,73,-258.45999145507807
15,2016-12-01 03:19:30,79,-258.45999145507807
16,2016-12-01 03:19:36,85,-258.45999145507807
17,2016-12-01 03:19:41,90,-258.45999145507807
18,2016-12-01 03:19:47,96,-258.45999145507807
19,2016-12-01 03:19:53,102,-258.45999145507807
20,2016-12-01 03:19:59,108,-258.45999145507807
21,2016-12-01 03:20:04,113,-258.45999145507807
22,2016-12-01 03:20:09,118,-258.45999145507807
23,2016-12-01 03:20:15,124,-258.45999145507807
24,2016-12-01 03:20:21,130,-258.45999145507807
25,2016-12-01 03:20:26,135,-258.45999145507807
26,2016-12-01 03:20:31,140,-258.45999145507807
27,2016-12-01 03:20:37,146,-258.45999145507807
28,2016-12-01 03:20:42,151,-258.45999145507807
29,2016-12-01 03:20:48,157,-258.45999145507807
30,2016-12-01 03:20:53,162,-258.45999145507807
31,2016-12-01 03:20:58,167,-258.45999145507807
32,2016-12-01 03:21:03,172,-258.45999145507807
33,2016-12-01 03:21:09,178,-258.45999145507807
34,2016-12-01 03:21:14,183,-258.45999145507807
35,2016-12-01 03:21:19,188,-258.45999145507807
36,2016-12-01 03:21:24,193,-258.45999145507807
37,2016-12-01 03:21:29,198,-258.45999145507807
38,2016-12-01 03:21:35,204,-258.45999145507807
39,2016-12-01 03:21:40,209,-258.45999145507807
40,2016-12-01 03:21:45,214,-258.45999145507807
41,2016-12-01 03:21:50,219,-258.45999145507807
42,2016-12-01 03:21:56,225,-258.45999145507807
43,2016-12-01 03:22:02,231,-258.45999145507807
44,2016-12-01 03:22:08,237,-258.45999145507807
45,2016-12-01 03:22:13,242,-258.45999145507807
46,2016-12-01 03:22:19,248,-258.45999145507807
47,2016-12-01 03:22:24,253,-258.45999145507807
48,2016-12-01 03:22:30,259,-258.45999145507807
49,2016-12-01 03:22:36,265,-258.45999145507807
50,2016-12-01 03:22:42,271,-258.45999145507807
51,2016-12-01 03:22:47,276,-258.45999145507807
52,2016-12-01 03:22:52,281,-258.45999145507807
