,Time,Time(s),Temp(K)
0,2016-12-01 02:29:00,0,-258.45999145507807
1,2016-12-01 02:29:06,6,-258.45999145507807
2,2016-12-01 02:29:11,11,-258.45999145507807
3,2016-12-01 02:29:16,16,-258.45999145507807
4,2016-12-01 02:29:19,19,-258.45999145507807
5,2016-12-01 02:29:22,22,-258.45999145507807
6,2016-12-01 02:29:27,27,-258.45999145507807
7,2016-12-01 02:29:33,33,-258.45999145507807
8,2016-12-01 02:29:39,39,-258.45999145507807
9,2016-12-01 02:29:44,44,-258.45999145507807
10,2016-12-01 02:29:49,49,-258.45999145507807
11,2016-12-01 02:29:54,54,-258.45999145507807
12,2016-12-01 02:30:00,60,-258.45999145507807
13,2016-12-01 02:30:06,66,-258.45999145507807
14,2016-12-01 02:30:11,71,-258.45999145507807
15,2016-12-01 02:30:17,77,-258.45999145507807
16,2016-12-01 02:30:22,82,-258.45999145507807
17,2016-12-01 02:30:28,88,-258.45999145507807
18,2016-12-01 02:30:33,93,-258.45999145507807
19,2016-12-01 02:30:39,99,-258.45999145507807
20,2016-12-01 02:30:44,104,-258.45999145507807
21,2016-12-01 02:30:49,109,-258.45999145507807
22,2016-12-01 02:30:54,114,-258.45999145507807
23,2016-12-01 02:31:00,120,-258.45999145507807
24,2016-12-01 02:31:06,126,-258.45999145507807
25,2016-12-01 02:31:11,131,-258.45999145507807
26,2016-12-01 02:31:16,136,-258.45999145507807
27,2016-12-01 02:31:22,142,-258.45999145507807
28,2016-12-01 02:31:27,147,-258.45999145507807
29,2016-12-01 02:31:32,152,-258.45999145507807
30,2016-12-01 02:31:38,158,-258.45999145507807
31,2016-12-01 02:31:43,163,-258.45999145507807
32,2016-12-01 02:31:49,169,-258.45999145507807
33,2016-12-01 02:31:54,174,-258.45999145507807
34,2016-12-01 02:31:59,179,-258.45999145507807
35,2016-12-01 02:32:05,185,-258.45999145507807
36,2016-12-01 02:32:11,191,-258.45999145507807
37,2016-12-01 02:32:16,196,-258.45999145507807
38,2016-12-01 02:32:22,202,-258.45999145507807
39,2016-12-01 02:32:28,208,-258.45999145507807
40,2016-12-01 02:32:33,213,-258.45999145507807
41,2016-12-01 02:32:39,219,-258.45999145507807
42,2016-12-01 02:32:44,224,-258.45999145507807
43,2016-12-01 02:32:50,230,-258.45999145507807
44,2016-12-01 02:32:55,235,-258.45999145507807
45,2016-12-01 02:33:01,241,-258.45999145507807
46,2016-12-01 02:33:07,247,-258.45999145507807
47,2016-12-01 02:33:12,252,-258.45999145507807
48,2016-12-01 02:33:17,257,-258.45999145507807
49,2016-12-01 02:33:22,262,-258.45999145507807
50,2016-12-01 02:33:27,267,-258.45999145507807
51,2016-12-01 02:33:33,273,-258.45999145507807
52,2016-12-01 02:33:39,279,-258.45999145507807
53,2016-12-01 02:33:44,284,-258.45999145507807
54,2016-12-01 02:33:50,290,-258.45999145507807
55,2016-12-01 02:33:55,295,-258.45999145507807
56,2016-12-01 02:34:01,301,-258.45999145507807
57,2016-12-01 02:34:07,307,-258.45999145507807
58,2016-12-01 02:34:12,312,-258.45999145507807
59,2016-12-01 02:34:18,318,-258.45999145507807
60,2016-12-01 02:34:23,323,-258.45999145507807
61,2016-12-01 02:34:28,328,-258.45999145507807
62,2016-12-01 02:34:33,333,-258.45999145507807
63,2016-12-01 02:34:39,339,-258.45999145507807
64,2016-12-01 02:34:44,344,-258.45999145507807
65,2016-12-01 02:34:50,350,-258.45999145507807
66,2016-12-01 02:34:55,355,-258.45999145507807
67,2016-12-01 02:35:00,360,-258.45999145507807
68,2016-12-01 02:35:05,365,-258.45999145507807
69,2016-12-01 02:35:11,371,-258.45999145507807
70,2016-12-01 02:35:16,376,-258.45999145507807
71,2016-12-01 02:35:21,381,-258.45999145507807
72,2016-12-01 02:35:28,388,-258.45999145507807
73,2016-12-01 02:35:33,393,-258.45999145507807
74,2016-12-01 02:35:39,399,-258.45999145507807
75,2016-12-01 02:35:44,404,-258.45999145507807
76,2016-12-01 02:35:50,410,-258.45999145507807
77,2016-12-01 02:35:56,416,-258.45999145507807
78,2016-12-01 02:36:01,421,-258.45999145507807
79,2016-12-01 02:36:07,427,-258.45999145507807
80,2016-12-01 02:36:12,432,-258.45999145507807
81,2016-12-01 02:36:17,437,-258.45999145507807
82,2016-12-01 02:36:23,443,-258.45999145507807
83,2016-12-01 02:36:29,449,-258.45999145507807
84,2016-12-01 02:36:34,454,-258.45999145507807
85,2016-12-01 02:36:40,460,-258.45999145507807
86,2016-12-01 02:36:45,465,-258.45999145507807
87,2016-12-01 02:36:51,471,-258.45999145507807
88,2016-12-01 02:36:57,477,-258.45999145507807
89,2016-12-01 02:37:02,482,-258.45999145507807
90,2016-12-01 02:37:07,487,-258.45999145507807
91,2016-12-01 02:37:12,492,-258.45999145507807
92,2016-12-01 02:37:17,497,-258.45999145507807
93,2016-12-01 02:37:22,502,-258.45999145507807
94,2016-12-01 02:37:28,508,-258.45999145507807
95,2016-12-01 02:37:33,513,-258.45999145507807
96,2016-12-01 02:37:39,519,-258.45999145507807
97,2016-12-01 02:37:45,525,-258.45999145507807
98,2016-12-01 02:37:50,530,-258.45999145507807
99,2016-12-01 02:37:56,536,-258.45999145507807
100,2016-12-01 02:38:01,541,-258.45999145507807
101,2016-12-01 02:38:06,546,-258.45999145507807
102,2016-12-01 02:38:12,552,-258.45999145507807
103,2016-12-01 02:38:16,556,-258.45999145507807
