,Time,Time(s),Temp(K)
0,2016-12-01 03:08:24,0,-258.45999145507807
1,2016-12-01 03:08:30,6,-258.45999145507807
2,2016-12-01 03:08:35,11,-258.45999145507807
3,2016-12-01 03:08:41,17,-258.45999145507807
4,2016-12-01 03:08:46,22,-258.45999145507807
5,2016-12-01 03:08:52,28,-258.45999145507807
6,2016-12-01 03:08:57,33,-258.45999145507807
7,2016-12-01 03:09:02,38,-258.45999145507807
8,2016-12-01 03:09:08,44,-258.45999145507807
9,2016-12-01 03:09:11,47,-258.45999145507807
10,2016-12-01 03:09:13,49,-258.45999145507807
11,2016-12-01 03:09:19,55,-258.45999145507807
12,2016-12-01 03:09:24,60,-258.45999145507807
13,2016-12-01 03:09:30,66,-258.45999145507807
14,2016-12-01 03:09:35,71,-258.45999145507807
15,2016-12-01 03:09:41,77,-258.45999145507807
16,2016-12-01 03:09:46,82,-258.45999145507807
17,2016-12-01 03:09:52,88,-258.45999145507807
18,2016-12-01 03:09:58,94,-258.45999145507807
19,2016-12-01 03:10:03,99,-258.45999145507807
20,2016-12-01 03:10:09,105,-258.45999145507807
21,2016-12-01 03:10:14,110,-258.45999145507807
22,2016-12-01 03:10:20,116,-258.45999145507807
23,2016-12-01 03:10:25,121,-258.45999145507807
24,2016-12-01 03:10:31,127,-258.45999145507807
25,2016-12-01 03:10:36,132,-258.45999145507807
26,2016-12-01 03:10:41,137,-258.45999145507807
27,2016-12-01 03:10:47,143,-258.45999145507807
28,2016-12-01 03:10:53,149,-258.45999145507807
29,2016-12-01 03:10:59,155,-258.45999145507807
30,2016-12-01 03:11:05,161,-258.45999145507807
31,2016-12-01 03:11:11,167,-258.45999145507807
32,2016-12-01 03:11:17,173,-258.45999145507807
33,2016-12-01 03:11:22,178,-258.45999145507807
34,2016-12-01 03:11:27,183,-258.45999145507807
35,2016-12-01 03:11:32,188,-258.45999145507807
36,2016-12-01 03:11:37,193,-258.45999145507807
37,2016-12-01 03:11:43,199,-258.45999145507807
38,2016-12-01 03:11:48,204,-258.45999145507807
39,2016-12-01 03:11:54,210,-258.45999145507807
40,2016-12-01 03:12:00,216,-258.45999145507807
41,2016-12-01 03:12:06,222,-258.45999145507807
42,2016-12-01 03:12:11,227,-258.45999145507807
43,2016-12-01 03:12:17,233,-258.45999145507807
44,2016-12-01 03:12:23,239,-258.45999145507807
45,2016-12-01 03:12:28,244,-258.45999145507807
46,2016-12-01 03:12:34,250,-258.45999145507807
47,2016-12-01 03:12:39,255,-258.45999145507807
48,2016-12-01 03:12:44,260,-258.45999145507807
49,2016-12-01 03:12:49,265,-258.45999145507807
50,2016-12-01 03:12:55,271,-258.45999145507807
51,2016-12-01 03:13:00,276,-258.45999145507807
52,2016-12-01 03:13:05,281,-258.45999145507807
53,2016-12-01 03:13:11,287,-258.45999145507807
54,2016-12-01 03:13:16,292,-258.45999145507807
55,2016-12-01 03:13:22,298,-258.45999145507807
56,2016-12-01 03:13:27,303,-258.45999145507807
57,2016-12-01 03:13:33,309,-258.45999145507807
58,2016-12-01 03:13:38,314,-258.45999145507807
59,2016-12-01 03:13:43,319,-258.45999145507807
60,2016-12-01 03:13:49,325,-258.45999145507807
61,2016-12-01 03:13:54,330,-258.45999145507807
62,2016-12-01 03:14:00,336,-258.45999145507807
63,2016-12-01 03:14:05,341,-258.45999145507807
64,2016-12-01 03:14:10,346,-258.45999145507807
65,2016-12-01 03:14:15,351,-258.45999145507807
66,2016-12-01 03:14:20,356,-258.45999145507807
67,2016-12-01 03:14:25,361,-258.45999145507807
68,2016-12-01 03:14:30,366,-258.45999145507807
69,2016-12-01 03:14:36,372,-258.45999145507807
70,2016-12-01 03:14:42,378,-258.45999145507807
71,2016-12-01 03:14:47,383,-258.45999145507807
72,2016-12-01 03:14:53,389,-258.45999145507807
73,2016-12-01 03:14:58,394,-258.45999145507807
74,2016-12-01 03:15:04,400,-258.45999145507807
75,2016-12-01 03:15:09,405,-258.45999145507807
76,2016-12-01 03:15:15,411,-258.45999145507807
77,2016-12-01 03:15:21,417,-258.45999145507807
78,2016-12-01 03:15:27,423,-258.45999145507807
79,2016-12-01 03:15:33,429,-258.45999145507807
80,2016-12-01 03:15:39,435,-258.45999145507807
81,2016-12-01 03:15:44,440,-258.45999145507807
82,2016-12-01 03:15:49,445,-258.45999145507807
83,2016-12-01 03:15:55,451,-258.45999145507807
84,2016-12-01 03:16:00,456,-258.45999145507807
85,2016-12-01 03:16:06,462,-258.45999145507807
86,2016-12-01 03:16:13,469,-258.45999145507807
87,2016-12-01 03:16:18,474,-265.3599853515625
88,2016-12-01 03:16:24,480,-258.45999145507807
89,2016-12-01 03:16:29,485,-258.45999145507807
90,2016-12-01 03:16:35,491,-258.45999145507807
91,2016-12-01 03:16:40,496,-258.45999145507807
92,2016-12-01 03:16:46,502,-258.45999145507807
93,2016-12-01 03:16:51,507,-258.45999145507807
94,2016-12-01 03:16:57,513,-258.45999145507807
95,2016-12-01 03:17:02,518,-258.45999145507807
96,2016-12-01 03:17:08,524,-258.45999145507807
97,2016-12-01 03:17:14,530,-258.45999145507807
98,2016-12-01 03:17:20,536,-258.45999145507807
99,2016-12-01 03:17:26,542,-258.45999145507807
100,2016-12-01 03:17:31,547,-258.45999145507807
101,2016-12-01 03:17:36,552,-258.45999145507807
102,2016-12-01 03:17:42,558,-258.45999145507807
103,2016-12-01 03:17:47,563,-258.45999145507807
104,2016-12-01 03:17:53,569,-258.45999145507807
105,2016-12-01 03:17:58,574,-258.45999145507807
106,2016-12-01 03:18:04,580,-258.45999145507807
