,Time,Time(s),Temp(K)
0,2016-12-01 08:18:17,0,-258.45999145507807
1,2016-12-01 08:18:22,5,-258.45999145507807
2,2016-12-01 08:18:28,11,-258.45999145507807
3,2016-12-01 08:18:33,16,-258.45999145507807
4,2016-12-01 08:18:39,22,-258.45999145507807
5,2016-12-01 08:18:44,27,-258.45999145507807
6,2016-12-01 08:18:49,32,-258.45999145507807
7,2016-12-01 08:18:54,37,-258.45999145507807
8,2016-12-01 08:18:59,42,-258.45999145507807
9,2016-12-01 08:19:02,45,-258.45999145507807
10,2016-12-01 08:19:05,48,-258.45999145507807
11,2016-12-01 08:19:10,53,-258.45999145507807
12,2016-12-01 08:19:16,59,-258.45999145507807
13,2016-12-01 08:19:22,65,-258.45999145507807
14,2016-12-01 08:19:27,70,-258.45999145507807
15,2016-12-01 08:19:32,75,-258.45999145507807
16,2016-12-01 08:19:38,81,-258.45999145507807
17,2016-12-01 08:19:44,87,-258.45999145507807
18,2016-12-01 08:19:49,92,-258.45999145507807
19,2016-12-01 08:19:55,98,-258.45999145507807
20,2016-12-01 08:20:00,103,-258.45999145507807
21,2016-12-01 08:20:05,108,-258.45999145507807
22,2016-12-01 08:20:10,113,-258.45999145507807
23,2016-12-01 08:20:17,120,-258.45999145507807
24,2016-12-01 08:20:22,125,-258.45999145507807
25,2016-12-01 08:20:27,130,-258.45999145507807
26,2016-12-01 08:20:33,136,-258.45999145507807
27,2016-12-01 08:20:38,141,-258.45999145507807
28,2016-12-01 08:20:44,147,-258.45999145507807
29,2016-12-01 08:20:50,153,-258.45999145507807
30,2016-12-01 08:20:55,158,-258.45999145507807
31,2016-12-01 08:21:01,164,-258.45999145507807
32,2016-12-01 08:21:06,169,-258.45999145507807
33,2016-12-01 08:21:11,174,-258.45999145507807
34,2016-12-01 08:21:17,180,-258.45999145507807
35,2016-12-01 08:21:23,186,-258.45999145507807
36,2016-12-01 08:21:29,192,-258.45999145507807
37,2016-12-01 08:21:34,197,-258.45999145507807
38,2016-12-01 08:21:39,202,-258.45999145507807
39,2016-12-01 08:21:45,208,-258.45999145507807
40,2016-12-01 08:21:51,214,-258.45999145507807
41,2016-12-01 08:21:56,219,-258.45999145507807
42,2016-12-01 08:22:02,225,-258.45999145507807
43,2016-12-01 08:22:08,231,-258.45999145507807
44,2016-12-01 08:22:14,237,-258.45999145507807
45,2016-12-01 08:22:19,242,-258.45999145507807
46,2016-12-01 08:22:25,248,-258.45999145507807
47,2016-12-01 08:22:31,254,-258.45999145507807
48,2016-12-01 08:22:36,259,-258.45999145507807
49,2016-12-01 08:22:42,265,-258.45999145507807
50,2016-12-01 08:22:48,271,-258.45999145507807
51,2016-12-01 08:22:53,276,-258.45999145507807
52,2016-12-01 08:22:59,282,-258.45999145507807
53,2016-12-01 08:23:05,288,-258.45999145507807
54,2016-12-01 08:23:10,293,-258.45999145507807
55,2016-12-01 08:23:16,299,-258.45999145507807
56,2016-12-01 08:23:21,304,-258.45999145507807
57,2016-12-01 08:23:27,310,-258.45999145507807
58,2016-12-01 08:23:32,315,-258.45999145507807
59,2016-12-01 08:23:38,321,-258.45999145507807
60,2016-12-01 08:23:44,327,-258.45999145507807
61,2016-12-01 08:23:49,332,-258.45999145507807
62,2016-12-01 08:23:54,337,-258.45999145507807
63,2016-12-01 08:24:00,343,-258.45999145507807
64,2016-12-01 08:24:07,350,-258.45999145507807
65,2016-12-01 08:24:12,355,-258.45999145507807
66,2016-12-01 08:24:19,362,-258.45999145507807
67,2016-12-01 08:24:24,367,-258.45999145507807
68,2016-12-01 08:24:30,373,-258.45999145507807
69,2016-12-01 08:24:35,378,-258.45999145507807
70,2016-12-01 08:24:40,383,-258.45999145507807
71,2016-12-01 08:24:46,389,-258.45999145507807
72,2016-12-01 08:24:52,395,-258.45999145507807
73,2016-12-01 08:24:57,400,-258.45999145507807
74,2016-12-01 08:25:03,406,-258.45999145507807
75,2016-12-01 08:25:08,411,-258.45999145507807
76,2016-12-01 08:25:13,416,-258.45999145507807
77,2016-12-01 08:25:19,422,-258.45999145507807
78,2016-12-01 08:25:25,428,-258.45999145507807
79,2016-12-01 08:25:30,433,-258.45999145507807
80,2016-12-01 08:25:36,439,-258.45999145507807
81,2016-12-01 08:25:42,445,-258.45999145507807
82,2016-12-01 08:25:47,450,-258.45999145507807
83,2016-12-01 08:25:53,456,-258.45999145507807
84,2016-12-01 08:25:58,461,-258.45999145507807
85,2016-12-01 08:26:03,466,-258.45999145507807
86,2016-12-01 08:26:09,472,-258.45999145507807
87,2016-12-01 08:26:14,477,-258.45999145507807
88,2016-12-01 08:26:19,482,-258.45999145507807
89,2016-12-01 08:26:25,488,-258.45999145507807
90,2016-12-01 08:26:30,493,-258.45999145507807
91,2016-12-01 08:26:35,498,-258.45999145507807
92,2016-12-01 08:26:41,504,-258.45999145507807
93,2016-12-01 08:26:47,510,-258.45999145507807
94,2016-12-01 08:26:53,516,-258.45999145507807
95,2016-12-01 08:26:58,521,-258.45999145507807
96,2016-12-01 08:27:03,526,-258.45999145507807
97,2016-12-01 08:27:09,532,-258.45999145507807
98,2016-12-01 08:27:14,537,-258.45999145507807
99,2016-12-01 08:27:19,542,-258.45999145507807
100,2016-12-01 08:27:25,548,-258.45999145507807
101,2016-12-01 08:27:31,554,-258.45999145507807
102,2016-12-01 08:27:37,560,-258.45999145507807
103,2016-12-01 08:27:42,565,-258.45999145507807
104,2016-12-01 08:27:47,570,-258.45999145507807
105,2016-12-01 08:27:52,575,-258.45999145507807
106,2016-12-01 08:27:57,580,-258.45999145507807
107,2016-12-01 08:28:03,586,-258.45999145507807
108,2016-12-01 08:28:08,591,-258.45999145507807
