,B,T0y,BCy,ly
0,-5000.0,0.1324646281429605,0.11008390027899466,0.04193069856222677
1,-4990.0,0.13245960468456539,0.1099967496467979,0.041956182797313724
2,-4980.0,0.13245455174325926,0.10990886665634735,0.04198181652200702
3,-4970.000000000001,0.13244946908949345,0.10982025130764306,0.04200760089942972
4,-4960.0,0.13244435649149722,0.10973102566039399,0.04203353710395551
5,-4950.0,0.13243921371525183,0.10964094559518221,0.0420596263213385
6,-4940.0,0.13243404052446478,0.10955013317171665,0.04208586974884479
7,-4930.0,0.13242883668054328,0.10945858838999735,0.04211226859538583
8,-4920.000000000001,0.13242360194256766,0.1093663112500243,0.042138824081653536
9,-4910.0,0.13241833606726416,0.10927317969208851,0.04216553744025722
10,-4900.0,0.13241303880897762,0.10917931577589898,0.04219240991586237
11,-4890.0,0.13240770991964354,0.10908471950145571,0.04221944276533134
12,-4880.0,0.13240234914875995,0.10898939086875868,0.042246637257865906
13,-4870.0,0.13239695624335895,0.10889308575838998,0.042273994675151715
14,-4860.0,0.13239153094797754,0.10879617034947647,0.04230151631150482
15,-4850.0,0.13238607300462837,0.10869827846289129,0.042329203474020055
16,-4840.0,0.13238058215277002,0.10859965421805236,0.04235705748272155
17,-4830.0,0.1323750581292768,0.10850017555525072,0.04238507967071524
18,-4820.0,0.1323695006684082,0.10839996453419534,0.04241327138434344
19,-4810.0,0.13236390950177782,0.10829877703546825,0.04244163398334165
20,-4800.0,0.132358284358322,0.10819673511877846,0.042470168840997344
21,-4790.0,0.13235262496426803,0.10809396084383494,0.042498877344311084
22,-4780.0,0.1323469310431018,0.10799021009121972,0.04252776089415976
23,-4770.0,0.13234120231553506,0.10788560492064181,0.04255682090546217
24,-4760.0,0.13233543849947216,0.10778014533210117,0.042586058807346804
25,-4750.0,0.1323296393099766,0.10767383132559782,0.04261547604332197
26,-4740.0,0.1323238044592367,0.1075665408414228,0.04264507407144834
27,-4730.0,0.13231793365653116,0.10745839593928505,0.042674854364513806
28,-4720.0,0.13231202660819386,0.10734927455947567,0.04270481841021086
29,-4710.0,0.13230608301757843,0.10723929876170354,0.04273496771131635
30,-4700.0,0.1323001025850221,0.10712834648625974,0.04276530378587386
31,-4690.0,0.13229408500780906,0.10701641773314427,0.042795828167378515
32,-4680.0,0.13228802998013364,0.10690351250235713,0.0428265424049645
33,-4670.0,0.1322819371930624,0.10678975285360728,0.04285744806359516
34,-4660.0,0.13227580633449615,0.1066748946674768,0.04288854672425574
35,-4650.0,0.13226963708913134,0.10655918206338358,0.04291983998414891
36,-4640.0,0.13226342913842068,0.10644237092190975,0.042951329456893
37,-4630.0,0.1322571821605335,0.10632470536247321,0.04298301677272311
38,-4620.0,0.1322508958303154,0.10620594126565605,0.04301490357869497
39,-4610.0,0.1322445698192472,0.10608607863145822,0.043046991538891785
40,-4600.0,0.1322382037954036,0.10596523951958875,0.043079282334634
41,-4590.0,0.132231797423411,0.1058434239300476,0.043111777664692034
42,-4580.0,0.13222535036440494,0.10572050980312582,0.04314447924550207
43,-4570.0,0.1322188622759866,0.10559661919853237,0.04317738881138495
44,-4560.0,0.13221233281217895,0.10547150799684932,0.043210508114768176
45,-4550.0,0.1322057616233823,0.10534542031749461,0.043243838926411135
46,-4540.0,0.13219914835632904,0.10521823410075926,0.043277383035633527
47,-4530.0,0.1321924926540376,0.10508994934664327,0.04331114225054715
48,-4520.0,0.13218579415576628,0.10496056605514664,0.04334511839829096
49,-4510.0,0.13217905249696577,0.10483008422626938,0.04337931332526959
50,-4500.0,0.13217226730923146,0.10469838180030257,0.04341372889739532
51,-4490.0,0.13216543822025464,0.1045655808369551,0.04344836700033352
52,-4479.999999999999,0.13215856485377356,0.10443168133622699,0.04348322953975173
53,-4470.0,0.1321516468295231,0.1042965612384093,0.04351831844157232
54,-4460.0,0.13214468376318422,0.10416034260321098,0.043553635652228924
55,-4450.0,0.13213767526633238,0.10402290337092307,0.043589183138926506
56,-4440.0,0.13213062094638545,0.10388436560125452,0.04362496288990533
57,-4429.999999999999,0.13212352040655054,0.10374448517478743,0.043660976914708834
58,-4420.0,0.13211637324577033,0.1036035062109397,0.04369722724445532
59,-4410.0,0.13210917905866842,0.10346118459029342,0.043733715932113844
60,-4400.0,0.13210193743549406,0.10331776443226652,0.043770445052783984
61,-4390.0,0.1320946479620657,0.10317300161744104,0.043807416703979904
62,-4379.999999999999,0.1320873102197142,0.10302701820552601,0.04384463300591859
63,-4370.000000000001,0.13207992378522487,0.10287981419652137,0.043882096101812304
64,-4360.0,0.13207248823077858,0.10273126753071818,0.04391980815816552
65,-4350.0,0.13206500312389227,0.10258137820811644,0.04395777136507618
66,-4340.0,0.13205746802735838,0.10243039034813407,0.04399598793654151
67,-4330.0,0.1320498824991833,0.1022779377716442,0.04403446011076846
68,-4320.000000000001,0.13204224609252527,0.10212414253835578,0.044073190150488675
69,-4310.0,0.13203455835563074,0.10196912670797775,0.04411218034327837
70,-4300.0,0.13202681883177037,0.10181276822080117,0.04415143300188289
71,-4290.0,0.13201902705917373,0.10165494501711711,0.044190950464546234
72,-4280.0,0.13201118257096295,0.10149590121634343,0.04423073509534559
73,-4270.000000000001,0.13200328489508573,0.10133539269906225,0.04427078928453089
74,-4260.0,0.1319953335542469,0.10117354152498254,0.04431111544886955
75,-4250.0,0.13198732806583918,0.10101022563439528,0.04435171603199643
76,-4240.0,0.1319792679418729,0.10084556708700951,0.044392593504769186
77,-4230.0,0.13197115268890441,0.10067956588282519,0.04443375036562902
78,-4220.0,0.13196298180796387,0.10051197790242437,0.04447518914096693
