,Power,Asym Red
0,0.0,0.0
1,0.5,2.4757291219971567
2,1.0,4.714869505150931
3,1.5,6.741454902789307
4,2.0,8.577059800384678
5,2.5,10.241051271052068
6,3.0,11.750815035887703
7,3.5,13.121958371128834
8,4.0,14.36849223351975
9,4.5,15.502994732387451
10,5.0,16.536757858925682
11,5.5,17.479919187509292
12,6.0,18.341580088226088
13,6.5,19.129911832167103
14,7.0,19.852250829516382
15,7.5,20.515184113474472
16,8.0,21.124626069050684
17,8.5,21.685887303436665
18,9.0,22.203736462830644
19,9.5,22.682455718146045
20,10.0,23.125890568044934
21,10.5,23.53749454132264
22,11.0,23.920369321057752
23,11.5,24.277300759435025
24,12.0,24.61079120412266
25,12.5,24.92308851397789
26,13.0,25.216212103162654
27,13.5,25.491976318021795
28,14.0,25.75201141990402
29,14.5,25.997782419126207
30,15.0,26.230605980167894
31,15.5,26.451665595641103
32,16.0,26.662025206347742
33,16.5,26.86264142657637
34,17.0,27.054374517489286
35,17.5,27.237998236820193
36,18.0,27.414208679969974
37,18.5,27.5836322158007
38,19.0,27.746832609848
39,19.5,27.90431741817515
40,20.0,28.056543726568652
41,20.5,28.20392330212399
42,21.0,28.34682721740321
43,21.5,28.485590001181976
44,22.0,28.62051336427131
45,22.5,28.75186954393315
46,23.0,28.879904305951797
47,23.5,29.004839639422357
48,24.0,29.12687617572638
49,24.5,29.246195359941687
50,25.0,29.362961400040305
51,25.5,29.477323016631583
52,26.0,29.58941501367694
53,26.5,29.699359688510363
54,27.0,29.807268097621247
55,27.5,29.913241192970506
56,28.0,30.017370842098057
57,28.5,30.11974074392203
58,29.0,30.22042725091101
59,29.5,30.319500107216808
60,30.0,30.417023111373275
61,30.5,30.513054711285253
62,31.0,30.607648538440714
63,31.5,30.700853887569032
64,32.0,30.79271614733108
65,32.5,30.88327718705459
66,33.0,30.97257570401496
67,33.5,31.060647535300653
68,34.0,31.14752593788866
69,34.5,31.233241840184363
70,35.0,31.317824067946553
71,35.5,31.401299547219512
72,36.0,31.48369348662535
73,36.5,31.565029541128922
74,37.0,31.645329959171207
75,37.5,31.724615714872968
76,38.0,31.80290662683618
77,38.5,31.880221464914293
78,39.0,31.956578046181964
79,39.5,32.03199332120892
80,40.0,32.10648345162948
81,40.5,32.18006387989764
82,41.0,32.25274939202665
83,41.5,32.32455417403005
84,42.0,32.39549186270784
85,42.5,32.46557559135549
86,43.0,32.534818030914266
87,43.5,32.60323142702849
88,44.0,32.67082763342746
89,44.5,32.737618142006966
90,45.0,32.80361410994726
91,45.5,32.86882638416949
92,46.0,32.93326552340183
93,46.5,32.996941818098925
94,47.0,33.059865308433096
95,47.5,33.12204580055343
96,48.0,33.183492881289055
97,48.5,33.24421593145453
98,49.0,33.30422413789925
99,49.5,33.36352650442841
100,50.0,33.42213186170968
101,50.5,33.48004887626845
102,51.0,33.53728605866358
103,51.5,33.59385177092663
104,52.0,33.64975423333862
105,52.5,33.7050015306112
106,53.0,33.75960161753189
107,53.5,33.813562324127346
108,54.0,33.86689136039272
109,54.5,33.919596320630546
110,55.0,33.971684687438064
111,55.5,34.02316383537777
112,56.0,34.074041034362814
113,56.5,34.12432345278511
114,57.0,34.17401816041166
115,57.5,34.223132131071765
116,58.0,34.271672245155436
117,58.5,34.31964529194144
118,59.0,34.36705797177137
119,59.5,34.41391689808452
120,60.0,34.46022859932693
121,60.5,34.50599952074637
122,61.0,34.55123602608416
123,61.5,34.59594439917335
124,62.0,34.64013084545196
125,62.5,34.683801493399045
126,63.0,34.7269623959006
127,63.5,34.76961953155156
128,64.0,34.8117788058996
129,64.5,34.85344605263575
130,65.0,34.894627034736544
131,65.5,34.935327445561626
132,66.0,34.97555290991062
133,66.5,35.01530898504271
134,67.0,35.05460116166168
135,67.5,35.093434864869344
136,68.0,35.13181545508972
137,68.5,35.16974822896612
138,69.0,35.207238420233175
139,69.5,35.24429120056559
